id,ship_name,voyage_id,date,effy_share,revenue_ss,revenue_cc,eu_revenue,carnival_share,office_supplies,discount_share,exec_folio,cc_fee_ss,cc_fee_direct,meal_charge,parole_fee,cash_advance,cash_paid_onboard
488,ELATION,EL20230225005,2/25/23,"$24,968.48 ","$17,935.00 ","$24,415.00 ",,"($16,093.00)",,,($103.44),($247.95),($537.13),($400.00),,,
489,ELATION,EL20230320005,3/20/23,"$11,274.71 ","$15,043.00 ","$4,355.00 ",,"($7,371.24)",,,($67.20),($189.04),($95.81),($400.00),,,
490,ELATION,EL20230325005,3/25/23,"$21,591.66 ","$18,377.00 ","$18,200.00 ",,"($13,899.26)",,,($55.68),($230.00),($400.40),($400.00),,,
491,ELATION,EL20230330004,3/30/23,"$3,211.42 ","$1,196.00 ","$4,690.00 ",,"($2,236.68)",,,,($14.72),($103.18),($320.00),,,
492,ELATION,EL20230403005,4/3/23,"$6,107.10 ","$5,710.00 ","$5,080.00 ",,"($4,100.20)",,,,($70.94),($111.76),($400.00),,,
493,ELATION,EL20230408005,4/8/23,"$19,970.79 ","$14,553.00 ","$19,272.00 ",,"($12,853.50)",,,,($176.73),($423.98),($400.00),,,
494,ELATION,EL20230413004,4/13/23,"$21,617.23 ","$15,781.00 ","$20,661.00 ",,"($13,847.96)",,,($2.88),($199.39),($454.54),($320.00),,,
495,FREEDOM,FD20220917005,9/17/22,($309.00),,,,,,,,,,($309.00),,,
496,FREEDOM,FD20220922004,9/22/22,"$18,020.43 ","$16,408.00 ","$14,025.00 ",,"($11,564.54)",,,($63.97),($231.11),($305.75),($247.20),,,
497,FREEDOM,FD20220926005,9/26/22,"$22,553.60 ","$19,800.00 ","$18,485.00 ",,"($14,548.30)",,,($101.76),($266.37),($402.97),($412.00),,,
498,FREEDOM,FD20221001005,10/1/22,"$30,385.99 ","$31,522.00 ","$19,588.00 ",,"($19,421.80)",,,($17.28),($445.91),($427.02),($412.00),,,
499,FREEDOM,FD20221006004,10/6/22,"$25,684.23 ","$21,756.00 ","$21,499.00 ",,"($16,436.90)",,,($34.56),($301.03),($468.68),($329.60),,,
500,FREEDOM,FD20221010005,10/10/22,"$47,847.57 ","$27,723.00 ","$52,657.00 ",,"($30,544.40)",,,($69.12),($358.99),"($1,147.92)",($412.00),,,
501,FREEDOM,FD20221015005,10/15/22,"$40,277.50 ","$35,910.00 ","$31,749.00 ",,"($25,710.42)",,,($51.84),($515.11),($692.13),($412.00),,,
502,FREEDOM,FD20221020004,10/20/22,"$9,015.58 ","$9,221.00 ","$6,380.00 ",,"($5,928.38)",,,($58.84),($129.52),($139.08),($329.60),,,
503,FREEDOM,FD20221024005,10/24/22,"$46,181.29 ","$30,919.00 ","$46,696.00 ",,"($29,493.70)",,,($84.99),($425.05),"($1,017.97)",($412.00),,,
